area,estacion,lat,lon
금강공주,대교천1,36.4465346,127.1191534
금강서해,웅천천1,36.0,126.6666667
대청댐,대청댐,36.4435413,127.4787301
대청댐상류,옥천,36.4435413,127.4787301
미호천,조천1,36.515,127.3197222
삽교천,온천천,36.6878955,126.7393823
새만금(직소천),백천내,35.907757,127.766922
강정고령보(낙동왜관),다사,35.989043,128.3977049
구미보(낙동구미),선산,36.2368798,128.3457982
금호강,금호강8,35.8169444,128.4811111
낙동강하구언,물금,35.1070944,128.9525113
낙동밀양,함안,35.5037598,128.7464415
낙동상주,도남,36.3807972,128.2534604
남강,남강7,35.907757,127.766922
내성천,내성천5,35.907757,127.766922
안동댐,도산,36.5683543,128.729357
안동댐하류,안동5,36.5683543,128.729357
임하댐,반변천4,36.5375,128.883333
창녕합천보(낙동고령),논공,35.591232,128.362484
태화강,학성,35.5372222,129.37
회야강,회야강3,35.907757,127.766922
섬진강댐,운암,35.5408152,127.1097807
순창,적성,35.3744136,127.1375968
영산강상류,우치,34.766667,126.35
영산강하구언,무안2,34.766667,126.35
요천,요천3,35.907757,127.766922
죽산보(영산강중류),죽산,34.766667,126.35
지석천,지석천4,35.907757,127.766922
탐진강,탐진강5,34.6213889,126.7786111
황룡강,황룡강5,35.907757,127.766922
경안천,경안천6,35.907757,127.766922
남한강상류,조양강,37.5272222,127.3155556
남한강하류,청미천6,37.5272222,127.3155556
달천,달천7,35.907757,127.766922
섬강,섬강6,35.907757,127.766922
소양강,소양강2,35.907757,127.766922
시화호,반월천,37.2933333,126.5925
안성천,진위천5,35.907757,127.766922
의암댐,춘성교,37.89095289999999,127.7106109
인북천,인북천1,38.1088889,128.1916667
임진강상류,임진강3,37.785,126.6638889
임진강하류,임진강6,37.785,126.6638889
청평댐,벽계천2,37.7084983,127.4553633
춘천댐,춘천3,37.98,127.6713889
충주댐,영춘,36.9595174,128.0666592
충주댐하류,중원,36.9595174,128.0666592
팔당댐,팔당댐,37.5254677,127.2784185
평창강,주천강3,37.58303009999999,128.4103292
평화의댐,화천,38.2120183,127.8477716
한강고양,굴포천4,37.65835990000001,126.8320201
한강서울,탄천5,37.566535,126.9779692
한강잠실,왕숙천6,37.5175896,127.0867236
한강하류,월곶,35.907757,127.766922
한탄강,한탄강1,38.004722,127.010833
홍천강,홍천강3,35.907757,127.766922
갑천,갑천6,35.907757,127.766922
금강하구언,양화,36.0166355,126.7486725
대청댐하류,부강,36.4435413,127.4787301
보청천,보청천1,36.3392486,127.7824437
용담댐,진안천,35.8784981,127.4801341
낙동강남해,창원천,35.051667,128.9225
보성강,보성강7,35.907757,127.766922
섬진강하류,하동,34.963611,127.760556
영산강하류,무안1,34.766667,126.35
주암댐,주암댐,34.9892387,127.2286254
강릉남대천,강릉,37.7312709,128.846006
양양남대천,간성북천,38.1072222,128.6436111
한강서해,내가천,35.4942771,123.7964613
논산천,논산천4,35.907757,127.766922
대호방조제,당진천1,37.0375906,126.4810603
동진강,동진강3,35.907757,127.766922
만경강,마산천,35.907757,127.766922
부남방조제,도당천,35.907757,127.766922
영동천,영동천2,36.1750233,127.774598
초강,석천,35.907757,127.766922
감천,부항천,35.0910972,129.0038545
낙동창녕,창녕천,35.5445563,128.4922143
수영강,회동댐상류,35.15,129.116667
위천,위천1,35.907757,127.766922
형산강,형산강5,35.907757,127.766922
황강,황강4,35.907757,127.766922
회천,가야천,35.907757,127.766922
고막원천,고막원천2,35.907757,127.766922
이사천,이사천1,None,None
삼척오십천,가곡천,37.4378416,129.1677336
무주남대천,무주남대천2,36.0053472,127.6612246
용담댐하류,용포,35.8784981,127.4801341
가화천,고성천,38.1056484,127.7080492
수어천,수어천1,35.907757,127.766922
주진천,주진천1,35.907757,127.766922
섬진강서남해,강진천,34.963611,127.760556
섬진곡성,고달,35.2819553,127.2919175
여수시,돌산천,34.7603737,127.6622221
영암천,영암천1,34.8001685,126.6967918
남강댐,경호강2,35.1621076,128.0351078
대종천,냉천,35.907757,127.766922
밀양강,밀양강4,35.385,128.8113889
합천댐,황강3,35.5236611,128.0184259
병성천,병성천,36.4376108,128.2126323
영강,영강3,35.907757,127.766922
금산면,오천천,35.213999,128.147948
남해도,남해봉천,34.8376721,127.8924234
진도,석교천,34.4868712,126.2634853
거제도,구천천,34.8869142,128.623886
섬진강댐하류,임실,35.5408152,127.1097807
오수천,오수천2,35.907757,127.766922
제주남해,동홍천,33.5124572,126.5271572
제주동해,천미천,37.5247192,129.1142915
제주북해,외도천,None,None
제주서해,옹포천,33.4996213,126.5311884
영덕오십천,영덕,36.4176629,129.3665789
왕피천,영덕송천,36.8945032,129.2536363
신안군,금산천,34.827332,126.101074
와탄천,와탄천,35.907757,127.766922
완도,군외천,34.3110596,126.7550541
