No,연도, 월, 조사회차, 채수 일자, 수계 명, 중권역 명, 측정소 명, 수심,음이온계면활성제(ABS),유량,안티몬(Sb),비소(As),바륨(Ba),벤젠,생물화학적산소요구량(BOD),사염화탄소,카드뮴(Cd),클로로포름,염소이온(Cl-),클로로필-a(Chlorophyll-a),시안(CN),화학적산소요구량(COD),색도,크롬(Cr),6가크롬(Cr6+),구리(Cu),"1,2,-다이클로로에탄",다이클로로메탄,다이에틸헥실프탈레이트(DEHP),"1,4-다이옥세인",용존산소(DO),용존총질소(DTN),용존총인(DTP),전기전도도(EC),분원성대장균군,용해성 철(Fe),불소(F),헥사클로로벤젠,포름알데히드,수은(Hg),용해성 망간(Mn),암모니아성 질소(NH3-N),노말헥산추출물질,니켈(Ni),질산성질소(NO3-N),유기인,납(Pb),폴리클로리네이티드비페닐(PCB),테트라클로로에틸렌(PCE),수소이온농도(pH),페놀류(phenols),인산염 인(PO4-P),셀레늄(Se),부유물질(SS),트리클로로에틸렌(TCE),총대장균군,수온,총질소(T-N),총유기탄소(TOC),총인(T-P),투명도,아연(Zn)
1,2022,01,1회차,2022.01.03,금강,금강공주,대교천1,,,,,,,,1.3,,,,,0.3,,1.5,,,,,,,,,14.3,1.572,0.011,425,79,,,,,,,0.028,,,1.431,,,,,7.2,정량한계미만,0.006,,1.2,,1600,1.6,1.698,0.9,0.012,,
2,2022,01,1회차,2022.01.03,금강,금강공주,부여,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022,01,1회차,2022.01.03,금강,금강공주,금강,,,,,,,,0.9,,,,,1.9,,5.5,,,,,,,,,13.8,4.764,0.017,514,74,,,,,,,0.688,,,3.966,,,,,7.8,정량한계미만,0.008,,3.4,,150,2.0,5.074,3.7,0.029,,
4,2022,01,1회차,2022.01.03,금강,금강서해,웅천천1,,,,,,,,0.8,,,,,2.4,,3.8,,,,,,,,,14.8,3.885,0.006,363,15,,,,,,,0.170,,,3.800,,,,,7.8,0.000,0.001,,1.6,,548,0.7,3.951,1.2,0.015,,
5,2022,01,1회차,2022.01.03,금강,대청댐,대청댐,,,,,,,,0.4,,,,,5.3,,3.7,,,,,,,,,11.1,1.227,0.010,141,9,,,,,,,0.018,,,1.007,,,,,7.7,정량한계미만,0.002,,1.6,,22,7.8,1.236,2.4,0.011,,
6,2022,01,1회차,2022.01.03,금강,대청댐,현도,,,,,,,,0.6,,,,,1.2,,3.6,,,,,,,,,10.6,1.215,정량한계미만,152,1,,,,,,,0.024,,,0.931,,,,,8.2,정량한계미만,정량한계미만,,1.8,,13,6.1,1.222,2.2,0.007,,
7,2022,01,1회차,2022.01.03,금강,대청댐상류,옥천,,정량한계미만,,정량한계미만,정량한계미만,,,0.5,,정량한계미만,,,0.3,정량한계미만,2.8,,,정량한계미만,,,,,,14.8,1.956,정량한계미만,191,32,,,,,정량한계미만,,0.013,,,1.711,,정량한계미만,,,8.3,정량한계미만,정량한계미만,,0.6,,200,1.3,2.126,1.6,0.006,,
8,2022,01,1회차,2022.01.03,금강,미호천,조천1,,,,,,,,2.0,,,,,0.9,,2.4,,,,,,,,,14.0,2.635,0.048,748,110,,,,,,,0.078,,,2.434,,,,,7.6,정량한계미만,0.021,,1.5,,920,2.8,2.905,1.2,0.053,,
9,2022,01,1회차,2022.01.03,금강,삽교천,온천천,,,,,,,,5.0,,,,,0.4,,7.0,,,,,,,,,8.5,5.291,0.168,714,5200,,,,,,,0.964,,,3.511,,,,,7.6,정량한계미만,0.120,,3.0,,27000,12.7,5.343,3.4,0.169,,
10,2022,01,1회차,2022.01.03,금강,삽교천,천안천2,,,,,,,,3.8,,,,,1.4,,9.3,,,,,,,,,10.0,10.972,0.238,534,5500,,,,,,,1.513,,,8.253,,,,,7.4,정량한계미만,0.204,,1.2,,35000,12.5,11.720,5.2,0.241,,
